nombre,descripcion,precio,precio_oferta,imagen_url,categoria,origen,link
Soporte Celular Auto Telefono Magnético Imán Android Iphone Soporte celular auto telefono magnético imán android iphone Despacho Agregar,N/A,$2.990,$2.990,N/A,Celulares en oferta,catalogo/v (estático),https://lider.cl/ip/audifonos-y-accesorios/soporte-celular-auto-telefono-magnetico-iman-android-iphone/00785881607380
"Celular Bs30 Senior Phone Celular exclusivo para papá, adultos mayores y abuelos , Doble linterna, tecla especial para prender la linterna,Teclas grandes , Boton SOS para configurar llamadas de emergencias con marcación rapida.Liberado para todo operadores. Despacho Agregar",N/A,$23.790,$23.790,N/A,Celulares en oferta,catalogo/v (estático),https://lider.cl/ip/tecnologia/celular-bs30-senior-phone/00081734201791
Rebaja $33.790 $49.990 Ahorra $16.200 Bmobile Bmobile Celular C41 Clamshell 4g Telefono Celular clamshell Bmobile C41 / 32 Gb / No pierdas la conectividad con tus seres queridos con el Celular Básico Bmobile C41 / 32 Gb Con un diseño compacto y ultra ligero para darte la funcionalidad que buscas Despacho Agregar,N/A,$33.790,$33.790,N/A,Celulares en oferta,catalogo/v (estático),https://lider.cl/ip/telefonia/bmobile-celular-c41-clamshell-4g/00081734201974
Rebaja $22.990 $34.990 Ahorra $12.000 Vtech Juguetes Para Bebés Baby Smartphone Vtech Baby Smartphone Vtech Despacho Agregar,N/A,$22.990,$22.990,N/A,Celulares en oferta,catalogo/v (estático),https://lider.cl/ip/juguetes-para-bebes/juguetes-para-bebes-baby-smartphone-vtech/00341776537622
"Mi Primer Smartphone Celeste Mi primer Smartphone celeste, Hola Toys. Despacho Agregar",N/A,$9.590,$9.590,N/A,Celulares en oferta,catalogo/v (estático),https://lider.cl/ip/juguetes-para-bebes/mi-primer-smartphone-celeste/00560289223905
"Mi Primer Smartphone Rosado Mi primer Smartphone rosado, Hola Toys. Despacho Agregar",N/A,$9.590,$9.590,N/A,Celulares en oferta,catalogo/v (estático),https://lider.cl/ip/juguetes-para-bebes/mi-primer-smartphone-rosado/00560289223906
Cargador Inalámbrico Con Soporte Para Smartphone Cargador inalámbrico con soporte para smartphone Despacho Agregar,N/A,$7.990,$7.990,N/A,Celulares en oferta,catalogo/v (estático),https://lider.cl/ip/audifonos-y-accesorios/cargador-inalambrico-con-soporte-para-smartphone/00785881608012
Celular De Juguete Madera. Celular De Juguete Madera Despacho Agregar,N/A,$10.000,$10.000,N/A,Celulares en oferta,catalogo/v (estático),https://lider.cl/ip/juguetes-por-edad/celular-de-juguete-madera/00692704905362
"Cyber Lider Rebaja $24.790 $49.990 Ahorra $25.200 Azumi Celular Azumi Sa3 Senior Phone. Celular exclusivo para papá, adultos mayores y abuelos , Tiene linterna, tecla especial para prender la linterna,Teclas grandes , botón SOS para configurar llamadas de emergencias con marcado rápido.Liberado para todo operadores. Despacho Agregar",N/A,$24.790,$24.790,N/A,Celulares en oferta,catalogo/v (estático),https://lider.cl/ip/tecnologia/celular-azumi-sa3-senior-phone/00780959642545
Soporte Celular Vehiculo Spe197 SOPORTE CELULAR SPARCO SPE 197 .Soporte para Smartphone con ventosa .Ventosa Adhesiva lavable .Ángulo y dirección ajustable . Más estable gracias al acabado de hierro en el interior .Se ajusta a móviles con funda . Despacho Agregar,N/A,$9.990,$9.990,N/A,Celulares en oferta,catalogo/v (estático),https://lider.cl/ip/otras-categorias/soporte-celular-vehiculo-spe197/00843658510357
"Soporte Magnético De Celular Para Auto 6.5cm Este soporte magnético de teléfono para auto está diseñado con forma de gancho y con tres puntos de agarre que pueden sujetarse firmemente a la salida de aire y asegurar que no se caiga el celular.Este soporte es muy fácil de instalar, solo tienes que ajustar la longitud de la abrazadera girando la perilla.Incluye un soporte magnético para teléfono y dos almohadillas metal.La duración promedio del producto puede acortarse o alargarse de acuerdo al uso que le dé el usuario. Despacho Agregar",N/A,$5.000,$5.000,N/A,Celulares en oferta,catalogo/v (estático),https://lider.cl/ip/accesorios-de-auto/soporte-magnetico-de-celular-para-auto-6-5cm/00000210456002
Smartphone 14t 5g 512gb Negro Smartphone 14T 5G 512GB Negro Despacho Agregar,N/A,$389.990,$389.990,N/A,Celulares en oferta,catalogo/v (estático),https://lider.cl/ip/telefonia/smartphone-14t-5g-512gb-negro/00040005074887
"Soporte Celular Espejo Automóvil Negro Soporte universal que puede ser ajustado de acuerdo a la anchura de los teléfonos móviles, GPS, etc.* Color Negro * Ancho: 9.5 CM.* Conectividad: Sin Conectividad.* No incluye celular * Producto 100% recomendado. Despacho Agregar",N/A,$7.990,$7.990,N/A,Celulares en oferta,catalogo/v (estático),https://lider.cl/ip/accesorios/soporte-celular-espejo-automovil-negro/00046249566625
"Mini Micrófono Inalámbrico Lavalier Smartphone Los micrófonos inalámbricos son compatibles con i.Phone 7 y superiores, i. Despacho Agregar",N/A,$17.990,$17.990,N/A,Celulares en oferta,catalogo/v (estático),https://lider.cl/ip/accesorios-computacion/mini-microfono-inalambrico-lavalier-smartphone/00046372301857
